,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,1001M,"Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.",78,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1002M,"Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.",79,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1003M,"Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.",80,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1004M,"Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).",81,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1005M,"Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.",82,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1006M,Agenciamento marítimo.,83,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1007M,Agenciamento de notícias.,84,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1008M,"Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.",85,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de Mao de Obra - Art. 118 - XXI",,
,1009M,"Representação de qualquer natureza, inclusive comercial.",86,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, se sessão de Mao de Obra - Art. 118 - XXI e XXIV ",,
,1010M,Distribuição de bens de terceiros.,87,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim , se o serviço for prestado mediante telefonia ou telemarketing, que envolvam a operação de centrais ou de aparelhos telefônicos ou de teleatendimento-Art 118-XXIV",,
,1101M,"Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.",88,"1,00%",NT,NT,NT,"2,00%",NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,1102M-Mao Obra,"Vigilância, segurança  com pessoas",89,"1,00%","11,00%",NT,NT,"2,00%","11,00%","4,65%",NT,NT,NT,NT,NT,,,,,Sim. Exceto Monitoramento Eletronico. Deduçao de Material-Art. 117 - II,,
,1102M-Monitoramento,"Vigilância, segurança  monitoramento eletronico",89,"1,00%",NT,NT,NT,"2,00%",NT,"4,65%",NT,NT,NT,NT,NT,,,,,,,
,1103M,"Escolta, inclusive de veículos e cargas.",90,NT,"11,00%",NT,NT,NT,"11,00%","4,65%",NT,NT,NT,NT,NT,,,,,"Sim, Art. 117 - II",,
,1104M,"Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.",91,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, Se Sessão de Mao de Obra -  B.legal -art. 118  - III",,
,1201M,Espetáculos teatrais.,92,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1202M,Exibições cinematográficas.,93,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1203M,Espetáculos circenses.,94,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1204M,Programas de auditório.,95,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1205M,"Parques de diversões, centros de lazer e congêneres.",96,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1206M,"Boates, taxi-dancing e congêneres.",97,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1207M,"Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.",98,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1208M,"Feiras, exposições, congressos e congêneres.",99,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1209M,"Bilhares, boliches e diversões eletrônicas ou não.",100,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1210M,Corridas e competições de animais.,101,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,,"Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1211M,"Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.",102,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1212M,Execução de música.,103,"1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1213M,"Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.",104,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,NT,art 118,,,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
,1214M,"Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.",105,"1,00%",NT,NT,NT,"2,00%",NT,NT,NT,NT,NT,NT,NT,,,,,,,
,1215M,"Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.",106,"1,00%",NT,NT,NT,"3,00%",NT,NT,NT,NT,NT,NT,NT,art 118,,,," Sim, Se Sessão de Mao de Obra -  B.Legal -art. 118  - XXI",,
