,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SN,,,,N,,,,MEI,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,
,423M,"Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.","1,00%",NT,NT,NT,"5,00%",art 118,NT,NT,NT,NT,NT,NT,,"Sim, se Se sessão Mão de obra-Art 118-XXIII-Não se aplica a planos de saude por meio de cooperativa",85% para municipio Tomador,
,501M,Medicina veterinária e zootecnia.,"1,00%",NT,NT,NT,"5,00%","11,00%","4,65%","1,50%",NT,NT,NT,NT,,,,
,502M,"Hospitais, clínicas, ambulatórios, prontos socorros e congêneres, na área veterinária.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,503M,Laboratórios de análise na área veterinária.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,504M,"Inseminação artificial, fertilização in vitro e congêneres.","1,00%",NT,NT,NT,"5,00%","11,00%","4,65%","1,50%",NT,NT,NT,NT,,,,
,505M,Bancos de sangue e de órgãos e congêneres.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,506M,"Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.","1,00%",NT,NT,NT,"5,00%","11,00%","4,65%","1,50%",NT,NT,NT,NT,,,,
,507M,"Unidade de atendimento, assistência ou tratamento móvel e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,508M,"Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.","1,00%",NT,NT,NT,"5,00%","11,00%","4,65%","1,50%",NT,NT,NT,NT,,,,
,509M,Planos de atendimento e assistência médico veterinária.,"1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
